original_title,runtime,year_release,budget_adjusted,revenue_final_adjusted
The Lady in the Van,104.0,2015,7417242,51163750
Mortdecai,106.0,2015,74172422,37603638
Burnt,100.0,2015,24724140,45253513
Fifty Shades of Grey,125.0,2015,49448281,705881797
Hardcore Henry,97.0,2015,12362070,17719532
American Ultra,96.0,2015,34613797,33550070
Pawn Sacrifice,115.0,2015,23487933,6896204
Avengers: Age of Ultron,141.0,2015,346137972,1737369945
Saul fia,107.0,2015,1236207,2196793
The DUFF,100.0,2015,10507759,53810403
Italiano medio,90.0,2015,2245842,5614605
Er ist wieder da,116.0,2015,3951685,31540279
Focus,105.0,2015,61933972,190330099
Eye in the Sky,102.0,2015,16070691,23122752
Dil Dhadakne Do,170.0,2015,16070691,27196554
А зори здесь тихие...,120.0,2015,4079483,6489128
என்னை அறிந்தால்,176.0,2015,9766035,19779312
Maze Runner: The Scorch Trials,132.0,2015,75408629,384778004
இன்று நேற்று நாளை,146.0,2015,766448,1730689
Гороскоп на удачу,95.0,2015,3461379,1191958
Kingsman: The Secret Service,130.0,2015,100132770,512224299
The Peanuts Movie,88.0,2015,122384497,304395108
Dilwale,158.0,2015,32141383,75408629
Córki dancingu,92.0,2015,1607069,125669
Ex Machina,108.0,2015,18543105,45578229
تین بہادر,94.0,2015,176961,797520
Atrapa la bandera,94.0,2015,17306898,10268788
葉問3,105.0,2015,44503453,193892588
寻龙诀,127.0,2015,45739660,344036420
Woodlawn,123.0,2015,14834484,17794084
Captive,97.0,2015,2472414,3463243
Он - дракон,110.0,2015,22251726,2195915
Terminator Genisys,126.0,2015,191612091,544677195
Stonewall,129.0,2015,16688795,232003
Jurassic World,124.0,2015,185431056,1871034975
In the Heart of the Sea,122.0,2015,123620704,115981881
Sunshine Superman,100.0,2015,494482,108906
"Hello, My Name Is Doris",95.0,2015,1236207,17857009
പ്രേമം,165.0,2015,7664483,13598277
La Tête haute,119.0,2015,6181035,32319
It Follows,100.0,2015,2472414,18140196
Bølgen,104.0,2015,7298649,16039963
Daddy's Home,96.0,2015,61810352,300133932
The Big Short,130.0,2015,34613797,164843889
ലോഹം,129.0,2015,1298332,2782142
Sisters,118.0,2015,37086211,129815403
Jupiter Ascending,124.0,2015,217572443,227446919
The Letters,114.0,2015,1,1
Truth,121.0,2015,11867587,3141886
कट्यार काळजात घुसली,162.0,2015,1854310,5439310
Mission: Impossible - Rogue Nation,131.0,2015,185431056,843501323
Love the Coopers,107.0,2015,21015519,52448447
대호,139.0,2015,6181,13701437
Point Break,114.0,2015,129801739,165304012
प्रेम रतन धन पायो,174.0,2015,28927244,82825871
Heist,93.0,2015,11002242,5068448
Insidious: Chapter 3,97.0,2015,12362070,128941155
Louder Than Bombs,109.0,2015,13598277,200004
Lost in the Sun,95.0,2015,30905,30905
Creed,133.0,2015,45739660,214565466
Mad Max: Fury Road,120.0,2015,185431056,468347348
Dope,103.0,2015,865344,22235385
Bajirao Mastani,150.0,2015,24106037,69227594
ചാര്‍ലി,130.0,2015,2348793,7293621
Star Wars: The Force Awakens,136.0,2015,302870725,2556752611
Орлеан,106.0,2015,3090517,373334
Demonic,83.0,2015,3708621,4187033
The Second Best Exotic Marigold Hotel,122.0,2015,12362070,106286938
Black Mass,122.0,2015,65518973,122184073
Magic Mike XXL,115.0,2015,18295864,151451503
ドラゴンボールZ 復活の「F」,93.0,2015,6181035,76358271
बॉम्बे वेलवेट,151.0,2015,22251726,1854310
The Visit,94.0,2015,6181035,121704660
The Gift,108.0,2015,6181035,72909826
Room,117.0,2015,7417242,43763902
Love,134.0,2015,3708621,307918
Anomalisa,90.0,2015,9889656,6996049
Sicario,121.0,2015,37086211,103873305
Southpaw,123.0,2015,37086211,113372334
Baahubali: The Beginning,159.0,2015,49448281,123620704
Irrational Man,95.0,2015,13598277,33861050
The Revenant,156.0,2015,166887950,658837165
Bajrangi Bhaijaan,163.0,2015,17306898,121148290
Mustang,97.0,2015,1607069,309051
Dark Places,113.0,2015,24724140,257857
The Gallows,87.0,2015,123620,52742044
Пиковая дама: Черный обряд,93.0,2015,1236207,2754411
Spectre,148.0,2015,302870725,1088696154
The D Train,101.0,2015,553232,953507
The SpongeBob Movie: Sponge Out of Water,93.0,2015,91479321,385194737
The Intern,121.0,2015,43267246,240522217
The Vatican Tapes,91.0,2015,16070691,2206336
Trumbo,124.0,2015,18543105,10180982
Hot Tub Time Machine 2,93.0,2015,17306898,15223458
西游记之大圣归来,89.0,2015,12362070,185431056
Blackhat,133.0,2015,86534493,21946309
Chappie,120.0,2015,60574145,129059456
El Abrazo de la Serpiente,125.0,2015,1730689,1631799
90 Minutes in Heaven,121.0,2015,6181035,5986578
Concussion,123.0,2015,43267246,62260071
The Hateful Eight,167.0,2015,54393109,192551753
Paper Towns,109.0,2015,14834484,105710907
Manglehorn,97.0,2015,4944828,176902
Vacation,99.0,2015,38322418,129040468
ஓ காதல் கண்மணி,138.0,2015,1162034,6304655
Батальонъ,120.0,2015,12362070,9330596
Macbeth,113.0,2015,18543105,15578317
Tomorrowland,130.0,2015,234879338,258558046
Steve Jobs,122.0,2015,37086211,42577285
The Wedding Ringer,101.0,2015,28432761,98649173
The Boy Next Door,91.0,2015,4944828,64809211
Minions,91.0,2015,91479321,1429958962
The Diary of a Teenage Girl,98.0,2015,2472414,1825880
The Good Dinosaur,93.0,2015,216336232,410329440
Crimson Peak,119.0,2015,67991387,92319721
Ted 2,115.0,2015,84062078,268284851
Lobo Guerreiro,90.0,2015,14834484,98896563
검사외전,126.0,2016,617,61
Bacalaureat,127.0,2016,2469484,424278
Love & Friendship,94.0,2016,3704226,17306849
Sing Street,106.0,2016,4938969,16822773
The Huntsman: Winter's War,114.0,2016,141995364,203241253
Neighbors 2: Sorority Rising,91.0,2016,43215980,134288746
விசாரணை,118.0,2016,401291,1975587
L'avenir,102.0,2016,2592958,348669
Fan,142.0,2016,19755876,36118183
Money Monster,98.0,2016,33338042,115179977
Unfriend,92.0,2016,12223948,2963381
The Choice,111.0,2016,12347423,23127823
White Girl,88.0,2016,864319,247247
Finding Dory,97.0,2016,246948460,1270019989
The Boss,91.0,2016,35807526,97095513
Bastille Day,92.0,2016,24694846,17777317
Free State of Jones,139.0,2016,61737115,30912946
The Angry Birds Movie,97.0,2016,90136188,431887598
Paterson,118.0,2016,6173711,2658076
Teenage Mutant Ninja Turtles: Out of the Shadows,112.0,2016,166690211,303282155
아가씨,145.0,2016,10587915,2448745
The Forest,95.0,2016,12347423,49458145
Mechanic: Resurrection,99.0,2016,49389692,155243699
Barbershop: The Next Cut,112.0,2016,24694846,67947931
Everybody Wants Some!!,116.0,2016,12347423,4198467
The Magnificent Seven,132.0,2016,111126807,200473545
Nine Lives,87.0,2016,37042269,71385941
The BFG,120.0,2016,172863922,226384554
Airlift,126.0,2016,5556340,39511753
The Birth of a Nation,120.0,2016,10495309,19584946
नीरजा,122.0,2016,13238373,3678289
Batman v Superman: Dawn of Justice,151.0,2016,308685575,1078251303
Alice Through the Looking Glass,113.0,2016,209906191,369644907
Sausage Party,83.0,2016,23460103,173734813
Captain Fantastic,119.0,2016,6173711,7259958
Toni Erdmann,162.0,2016,4367795,1716504
The Meddler,100.0,2016,3951175,5268914
Now You See Me 2,129.0,2016,111126807,413516848
Café Society,96.0,2016,37042269,54036332
Keanu,94.0,2016,18521134,25394113
Swiss Army Man,97.0,2016,3704226,5198825
Colonia,120.0,2016,17286392,4471058
Grimsby,83.0,2016,43215980,31094427
Green Room,95.0,2016,6173711,3976328
Precious Cargo,99.0,2016,12964794,124287
The Neon Demon,117.0,2016,8643196,1646064
3 Generations,87.0,2016,6173711,548178
The Witch,92.0,2016,4321598,49913154
Mr. Right,95.0,2016,9877938,42838
Miracles from Heaven,117.0,2016,19755876,91226908
Florence Foster Jenkins,110.0,2016,35807526,60382544
My Big Fat Greek Wedding 2,94.0,2016,22225361,109797299
இறுதிச்சுற்று,112.0,2016,370422,2592958
부산행,118.0,2016,10890427,2629714
I Saw the Light,123.0,2016,16051649,2033358
The Bronze,108.0,2016,4321598,760374
Gods of Egypt,127.0,2016,172863922,186052037
10 Cloverfield Lane,103.0,2016,18521134,133705824
The Edge of Seventeen,104.0,2016,11112680,23217659
Elle,130.0,2016,12106265,2891191
Queen of Katwe,124.0,2016,18521134,12800772
Morgan,92.0,2016,9877938,10878809
The Light Between Oceans,133.0,2016,24694846,32049110
Bridget Jones's Baby,123.0,2016,43215980,261706619
Kubo and the Two Strings,102.0,2016,74084538,86344967
Masterminds,94.0,2016,30868557,36054475
Sultan,170.0,2016,12841319,125943715
Sully,96.0,2016,74084538,294449037
大鱼·海棠,100.0,2016,5595423,104400239
Nerve,96.0,2016,23460103,105251281
Miss Peregrine's Home for Peculiar Children,127.0,2016,135821653,366083459
Deepwater Horizon,107.0,2016,135821653,150379725
#Pellichoopulu,124.0,2016,246948,6791082
Central Intelligence,107.0,2016,61737115,267905177
The Purge: Election Year,105.0,2016,12347423,146425472
The Conjuring 2,134.0,2016,49389692,395327453
The Duel,110.0,2016,12347423,5556
Te3n,136.0,2016,6259689,5948546
Race,134.0,2016,6173711,30626707
Ghostbusters,116.0,2016,177802891,282938123
Mike and Dave Need Wedding Dates,98.0,2016,40746496,95159423
Pete's Dragon,102.0,2016,80258249,177426712
रमन राघव २.०,127.0,2016,644378,1251937
The Legend of Tarzan,109.0,2016,222253614,440485749
Lights Out,81.0,2016,6050237,183814648
उड़ता पंजाब,149.0,2016,7383758,18397660
Anthropoid,120.0,2016,11112680,5679814
Ice Age: Collision Course,100.0,2016,129647941,504489822
The Girl on the Train,112.0,2016,55563403,213839906
Robinson Crusoe,90.0,2016,16669021,4127369
Skiptrace,107.0,2016,39511753,72232424
Hillary's America: The Secret History of the Democratic Party,107.0,2016,6173711,16051649
Hell or High Water,102.0,2016,14816907,46413093
Bad Moms,100.0,2016,24694846,227113651
Batman: The Killing Joke,72.0,2016,4321598,4661152
Cien años de perdón,96.0,2016,8272773,14963423
War Dogs,114.0,2016,49389692,106477413
The Infiltrator,127.0,2016,30868557,19060479
The Darkness,92.0,2016,4938969,13456583
Middle School: The Worst Years of My Life,92.0,2016,10495309,24676566
The Accountant,128.0,2016,54328661,191582671
The Finest Hours,114.0,2016,98779384,64328950
Triple 9,115.0,2016,24694846,15606274
Aquarius,140.0,2016,941171,353049
Risen,107.0,2016,24694846,56884044
シン・ゴジラ,120.0,2016,18521134,95075157
Dirty Grandpa,102.0,2016,14199536,116155947
Demolition,101.0,2016,12347423,2443051
A Quiet Passion,125.0,2016,10048750,2301888
Mohenjo Daro,155.0,2016,18582871,19978130
கபாலி,150.0,2016,23089681,91370930
God's Not Dead 2,121.0,2016,6173711,29025787
Don't Breathe,88.0,2016,12223948,193979059
Jason Bourne,123.0,2016,148169076,513016799
Moonlight,111.0,2016,4938969,80315896
Flaskepost fra P,112.0,2016,6433007,7284979
The Jungle Book,106.0,2016,216079903,1193440914
Personal Shopper,105.0,2016,7408453,1611579
Экипаж,138.0,2016,12347423,33715343
Ma vie de courgette,66.0,2016,9877938,360889
El hombre de las mil caras,123.0,2016,6173711,2947486
무수단,87.0,2016,617,617
Allied,124.0,2016,104953095,147576428
Inferno,121.0,2016,92605672,271669556
Keeping Up with the Joneses,105.0,2016,49389692,36941940
Ouija: Origin of Evil,99.0,2016,11112680,100885541
Trolls,92.0,2016,154342787,428288224
Max Steel,92.0,2016,12347423,7744801
Denial,109.0,2016,12347423,5029709
Manchester by the Sea,135.0,2016,11112680,92638967
Mal de pierres,120.0,2016,12717845,58956
Lion,118.0,2016,14816907,173237745
ആക്ഷൻ ഹീറോ ബിജു,144.0,2016,370422,3086855
Passengers,116.0,2016,135821653,374304908
美人鱼,93.0,2016,74973552,683812916
Fences,139.0,2016,29633815,79535630
24,164.0,2016,12347423,18521134
Jane Got a Gun,98.0,2016,30868557,1725285
Pride and Prejudice and Zombies,108.0,2016,34572784,20218075
The Secret Life of Pets,87.0,2016,92605672,1080964950
Fantastic Beasts and Where to Find Them,133.0,2016,222253614,999329215
Allegiant,121.0,2016,135821653,221323690
Storks,87.0,2016,86431961,225191409
Arrival,113.0,2016,58032888,251131997
X-Men: Apocalypse,144.0,2016,219784130,671619292
A Monster Calls,108.0,2016,53093919,57604146
La La Land,128.0,2016,37042269,549998302
La Folle histoire de Max et Léon,98.0,2016,15009957,9754464
Kung Fu Panda 3,95.0,2016,179037634,643511665
Shut In,91.0,2016,12347423,16152986
A United Kingdom,111.0,2016,17286392,17063075
Eddie the Eagle,106.0,2016,28399072,56986334
Rules Don't Apply,127.0,2016,30868557,4797396
Norm of the North,86.0,2016,22225361,21067789
Moana,107.0,2016,185211345,793981858
Jackie,100.0,2016,11112680,17237489
Office Christmas Party,105.0,2016,55563403,141379597
Wazir,102.0,2016,6420659,11359629
Rogue One: A Star Wars Story,133.0,2016,246948460,1303958590
Split,117.0,2016,11112680,341927305
Bad Santa 2,87.0,2016,32103299,21956407
Loving,123.0,2016,11112680,11108732
ആനന്ദം,134.0,2016,555634,2839907
Miss Sloane,132.0,2016,16051649,4322345
Jimmy Vestvood: Amerikan Hero,84.0,2016,3086855,284075
Collateral Beauty,97.0,2016,44450722,107936259
Дуэлянт,110.0,2016,15833726,7534279
Almost Christmas,111.0,2016,20990619,52460897
Billy Lynn's Long Halftime Walk,113.0,2016,49389692,38191794
The Shallows,86.0,2016,20990619,147058744
Me Before You,110.0,2016,24694846,256758581
31,102.0,2016,1852113,962876
Ride Along 2,102.0,2016,49389692,154129567
Live by Night,129.0,2016,133352168,28002171
Underworld: Blood Wars,91.0,2016,43215980,100129344
Blair Witch,90.0,2016,6173711,55777006
The Hollars,105.0,2016,4692020,1255714
Gold,120.0,2016,24694846,8923529
Monster Trucks,105.0,2016,154342787,79633365
Star Trek Beyond,122.0,2016,228427326,424099181
A Street Cat Named Bob,103.0,2016,9877938,102116
When the Bough Breaks,97.0,2016,12347423,37855207
Hacksaw Ridge,140.0,2016,49389692,216453232
Kongens nei,133.0,2016,9260567,11236154
Independence Day: Resurgence,120.0,2016,203732480,481156770
Grave,99.0,2016,4321598,5062443
Incarnate,91.0,2016,6173711,7830556
Resident Evil: The Final Chapter,107.0,2016,49389692,385539179
Ballerina,89.0,2016,37042269,2903322
The Boy,97.0,2016,12347423,79256092
Patriots Day,133.0,2016,55563403,62413941
I'm Not Ashamed,112.0,2016,1852113,2469484
Ratchet & Clank,94.0,2016,24694846,10892068
Term Life,93.0,2016,20373248,26245
The Young Messiah,120.0,2016,22842732,8013972
The Nice Guys,116.0,2016,61737115,77527268
A Hologram for the King,97.0,2016,37042269,5201344
Whiskey Tango Foxtrot,112.0,2016,43215980,28501969
Zootopia,108.0,2016,185211345,1264109655
London Has Fallen,99.0,2016,74084538,254053719
Doctor Strange,115.0,2016,203732480,836807572
Jack Reacher: Never Go Back,118.0,2016,74084538,200208619
13 Hours: The Secret Soldiers of Benghazi,144.0,2016,61737115,85705154
20th Century Women,119.0,2016,8643196,7181521
Mother's Day,118.0,2016,30868557,59783950
दंगल,161.0,2016,12841319,382770114
Snowden,134.0,2016,49389692,46030500
The Founder,115.0,2016,30868557,29590330
Collide,98.0,2016,26546959,5940993
Nocturnal Animals,116.0,2016,27781701,36119889
Criminal,113.0,2016,38894382,18161449
Dans les forêts de Sibérie,105.0,2016,4321598,1842881
Zoolander 2,100.0,2016,61737115,69107292
Captain America: Civil War,147.0,2016,308685575,1424033849
Midnight Special,112.0,2016,22225361,7670567
The 5th Wave,112.0,2016,46920207,135706046
Paris Can Wait,92.0,2016,6173711,8272773
Deadpool,108.0,2016,71615053,966942723
"Hail, Caesar!",106.0,2016,27164330,78588453
Ben-Hur,125.0,2016,123474230,116141479
Fifty Shades of Black,92.0,2016,24694846,26133072
Silence,161.0,2016,56798145,29309723
Bleed for This,116.0,2016,7408453,7623905
Hidden Figures,127.0,2016,30868557,284853556
Rock Dog,90.0,2016,74084538,11631946
The Lost City of Z,140.0,2016,37042269,10587099
Suicide Squad,123.0,2016,216079903,920623928
Assassin's Creed,115.0,2016,154342787,297199825
鐵道飛虎,124.0,2016,61737115,126197053
How to Be Single,110.0,2016,46920207,138715288
The Great Wall,103.0,2016,185211345,409881480
Why Him?,111.0,2016,46920207,145741910
Sing,108.0,2016,92605672,780905014
Warcraft,123.0,2016,197558768,535479564
Dear Zindagi,149.0,2016,5309391,4168953
Going in Style,96.0,2017,30483976,103180385
The Fate of the Furious,136.0,2017,304839768,1510499057
Smurfs: The Lost Village,89.0,2017,73161544,240437546
Free Fire,90.0,2017,12193590,4347148
Diary of a Wimpy Kid: The Long Haul,91.0,2017,26825899,48920861
Lowriders,99.0,2017,1116932,2931198
Baywatch,116.0,2017,84135776,216871243
CHiPS,100.0,2017,30483976,32679008
Время первых,140.0,2017,8627011,12033783
The Zookeeper's Wife,126.0,2017,24387181,16049783
Gifted,101.0,2017,8535513,45678465
Aftermath,92.0,2017,12803270,4208
The Book of Henry,105.0,2017,12193590,5145129
A Ghost Story,92.0,2017,121935,19002802
Table 19,87.0,2017,6096795,4030703
The Space Between Us,121.0,2017,36580772,18038448
Life,103.0,2017,70722826,122596563
47 Meters Down,89.0,2017,6706474,53938376
Alien: Covenant,122.0,2017,118277830,283354958
Snatched,90.0,2017,51213081,74192769
Power Rangers,124.0,2017,121935907,173560205
"Гуляй, Вася!",90.0,2017,862700,5830309
The Shack,132.0,2017,24387181,69906920
The Ottoman Lieutenant,111.0,2017,48774362,293838
Fifty Shades Darker,118.0,2017,67064749,461926742
Ghost in the Shell,107.0,2017,134129498,207049513
Their Finest,117.0,2017,39928278,14843831
The Beguiled,93.0,2017,12803270,31024078
Baby Driver,113.0,2017,41458208,273759914
Rough Night,101.0,2017,24387181,54940382
Song to Song,129.0,2017,12193590,541010
Nieve negra,90.0,2017,4877436,1755877
Baahubali 2: The Conclusion,161.0,2017,21948463,280452587
The Mummy,110.0,2017,152419884,497227820
Wind River,111.0,2017,13412949,225301226
Captain Underpants: The First Epic Movie,89.0,2017,46335644,135134704
War for the Planet of the Apes,140.0,2017,185342579,451050631
John Wick: Chapter 2,122.0,2017,48774362,209168717
Get Out,104.0,2017,6096795,307807993
Logan,137.0,2017,118277830,752102881
The Dark Tower,95.0,2017,73161544,86574494
Kong: Skull Island,118.0,2017,225581428,690953248
King Arthur: Legend of the Sword,126.0,2017,213387838,178239893
Sleepless,95.0,2017,36580772,39678766
The Circle,110.0,2017,21948463,24994232
Wonder Woman,141.0,2017,181684502,1000582214
The Bye Bye Man,96.0,2017,9023257,32516888
The Boss Baby,97.0,2017,152419884,608234484
Despicable Me 3,96.0,2017,97548725,1243823544
T2 Trainspotting,117.0,2017,21948463,50496962
Before I Fall,98.0,2017,6096795,12224770
Kidnap,95.0,2017,25606540,29907412
Pirates of the Caribbean: Dead Men Tell No Tales,129.0,2017,280452587,968405207
Cars 3,109.0,2017,213387838,426983036
Dunkirk,107.0,2017,121935907,633916675
Bitter Harvest,103.0,2017,24387181,679476
Guardians of the Galaxy Vol. 2,137.0,2017,243871814,1052814306
